File,Pattern,Severity,Description,Fix,Match,Line
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base bg-glass-surface-primary border-glass-border-default shadow-lg rounded-2xl p-8 text-center">",30
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-2xl font-bold mb-4">GlassMotionController</h3>",32
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-body text-base leading-relaxed">",35
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="mt-6 inline-flex items-center gap-3 justify-center">",39
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base glass-hover bg-glass-frosted border-glass-border-primary shadow-lg rounded-xl px-4 py-2 transition-all">",41
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-caption text-xs opacity-80">Animated on mount</span>",46
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="flex flex-wrap gap-6">",56
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-primary border-glass-border-default shadow-lg rounded-2xl p-6 text-center min-w-40">",58
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-lg font-semibold">Primary</span>",59
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-caption text-sm mt-1 opacity-80">Premium variant</p>",60
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-base backdrop-blur-xl bg-glass-surface-secondary border-glass-border-secondary shadow-lg rounded-2xl p-6 text-center min-w-40">",64
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-heading text-lg font-semibold">Secondary</span>",65
"src/components/animations/GlassMotionController.stories.tsx","Missing Backdrop Filter","MEDIUM","Component may be missing backdrop-filter","Add glass-foundation-complete class","className="glass-caption text-sm mt-1 opacity-80">Elegant variant</p>",66
